id;title;author;price;stock_quantity;cover_image_url;description;active;created_at;updated_at
1;vroum bè;partenaire;14704.63;21209;là oups prestataire de services;devant loin;true;2025-09-23T05:09:26;2025-09-23T15:23:32
2;administrer simple;dedans aventurer;30266.26;108;à l'encontre de;conseil d’administration calme de façon que;true;2025-09-23T19:00:52;2025-09-23T19:01:26
3;vétuste chef de cuisine;interdire à demi;32258.2;17135;pschitt malgré hé;triathlète aussitôt que;true;2025-09-23T18:31:39;2025-09-23T18:17:14
4;zzzz;à raison de sitôt rentrer;26164.45;8073;hormis lorsque;assez ci neutre;true;2025-09-23T01:16:29;2025-09-23T20:01:57
5;porte-parole;lorsque;6236.04;24086;tant que chut glouglou;consacrer partout au-dessous de;true;2025-09-23T15:06:13;2025-09-23T07:32:05
6;magenta tsoin-tsoin;aussitôt que voir;25856.97;21746;lors de coin-coin;de manière à équipe de recherche prou;false;2025-09-23T15:43:55;2025-09-23T16:55:07
7;pauvre afin de athlète;comme chasser éveiller;5416.54;5456;par rapport à ha gigantesque;commettre considérable;false;2025-09-23T08:31:31;2025-09-23T04:14:09
8;aimable;insipide afin de blême;9066.31;21029;à condition que pourvu que infiniment;secours super;false;2025-09-23T05:41:16;2025-09-23T06:08:01
9;parce que;pis;4764.96;24274;vis-à-vie de;équipe;true;2025-09-23T02:36:37;2025-09-23T09:24:23
10;certainement bof;autoriser soucier;9233.76;27268;peindre novice diplomate;fonctionnaire;true;2025-09-23T16:23:00;2025-09-23T12:52:07
