id;name_en;name_fr;type;active
1;d’autant que chut;tant que communauté étudiante brave;CATEGORY;false
2;excuser;bon à l'égard de;ETIQUETTE;true
3;au cas où;au-dedans de;CATEGORY;false
4;grossir police de façon à ce que;police;CATEGORY;true
5;collègue accentuer hi;pendant que fournir;MAIN_DISPLAY;true
6;tôt;vroum;ETIQUETTE;false
7;où personnel professionnel;parce que rectorat;MAIN_DISPLAY;true
8;sitôt que ah toc;refaire bénéficier zzzz;MAIN_DISPLAY;true
9;souple tandis que;tant que commissionnaire;ETIQUETTE;true
10;comme;secouriste déborder pis;MAIN_DISPLAY;true
